,fecha,origen,destino,periodo,distancia,viajes
3821103,20200214,2807905,2807901,0,002-005,23.751
3821104,20200214,2807905,2807901,0,005-010,14.251
3821105,20200214,2807905,2807901,1,002-005,19.001
3821106,20200214,2807905,2807901,1,005-010,14.25
3821107,20200214,2807905,2807901,2,002-005,4.75
3821108,20200214,2807905,2807901,2,005-010,14.25
3821109,20200214,2807905,2807901,3,002-005,28.5
3821110,20200214,2807905,2807901,3,005-010,14.25
3821111,20200214,2807905,2807901,4,002-005,23.75
3821112,20200214,2807905,2807901,4,005-010,4.75
3821113,20200214,2807905,2807901,5,002-005,66.501
3821114,20200214,2807905,2807901,5,005-010,23.752
3821115,20200214,2807905,2807901,6,002-005,99.756
3821116,20200214,2807905,2807901,6,005-010,23.751
3821118,20200214,2807905,2807901,7,002-005,166.261
3821119,20200214,2807905,2807901,7,005-010,71.253
3821120,20200214,2807905,2807901,8,002-005,190.012
3821121,20200214,2807905,2807901,8,005-010,90.254
3821122,20200214,2807905,2807901,9,002-005,185.261
3821123,20200214,2807905,2807901,9,005-010,57.002
3821124,20200214,2807905,2807901,10,002-005,156.758
3821125,20200214,2807905,2807901,10,005-010,47.502
3821127,20200214,2807905,2807901,11,002-005,114.007
3821128,20200214,2807905,2807901,11,005-010,52.251
3821130,20200214,2807905,2807901,12,002-005,109.255
3821131,20200214,2807905,2807901,12,005-010,66.502
3821132,20200214,2807905,2807901,13,002-005,166.26
3821133,20200214,2807905,2807901,13,005-010,47.501
3821134,20200214,2807905,2807901,14,002-005,137.762
3821135,20200214,2807905,2807901,14,005-010,66.501
3821136,20200214,2807905,2807901,15,002-005,156.757
3821137,20200214,2807905,2807901,15,005-010,52.251
3821139,20200214,2807905,2807901,16,002-005,185.263
3821140,20200214,2807905,2807901,16,005-010,99.755
3821142,20200214,2807905,2807901,17,002-005,232.767
3821143,20200214,2807905,2807901,17,005-010,118.756
3821144,20200214,2807905,2807901,18,002-005,308.773
3821145,20200214,2807905,2807901,18,005-010,90.255
3821147,20200214,2807905,2807901,19,002-005,323.027
3821148,20200214,2807905,2807901,19,005-010,133.007
3821150,20200214,2807905,2807901,20,002-005,361.029
3821151,20200214,2807905,2807901,20,005-010,180.514
3821152,20200214,2807905,2807901,21,002-005,270.77
3821153,20200214,2807905,2807901,21,005-010,128.259
3821155,20200214,2807905,2807901,22,002-005,209.011
3821156,20200214,2807905,2807901,22,005-010,38.0
3821157,20200214,2807905,2807901,23,002-005,33.25
3821158,20200214,2807905,2807901,23,005-010,42.752
3821159,20200214,2807905,2807901,0,002-005,9.5
3821160,20200214,2807905,2807901,1,002-005,9.5
3821161,20200214,2807905,2807901,2,002-005,9.5
3821162,20200214,2807905,2807901,3,002-005,9.5
3821163,20200214,2807905,2807901,4,005-010,9.5
3821164,20200214,2807905,2807901,5,002-005,19.0
3821165,20200214,2807905,2807901,5,005-010,4.75
3821166,20200214,2807905,2807901,6,002-005,52.252
3821167,20200214,2807905,2807901,6,005-010,47.502
3821168,20200214,2807905,2807901,7,002-005,156.761
3821169,20200214,2807905,2807901,7,005-010,47.502
