,fecha,origen,destino,periodo,distancia,viajes
2702468,20200621,2807905,2807901,0,002-005,16.335
2702469,20200621,2807905,2807901,1,002-005,16.335
2702470,20200621,2807905,2807901,1,005-010,5.445
2702471,20200621,2807905,2807901,2,002-005,16.335
2702472,20200621,2807905,2807901,3,002-005,16.335
2702473,20200621,2807905,2807901,4,002-005,5.445
2702474,20200621,2807905,2807901,5,002-005,5.445
2702475,20200621,2807905,2807901,5,005-010,10.89
2702476,20200621,2807905,2807901,6,002-005,16.335
2702477,20200621,2807905,2807901,6,005-010,5.445
2702478,20200621,2807905,2807901,7,002-005,10.89
2702479,20200621,2807905,2807901,8,002-005,49.004
2702480,20200621,2807905,2807901,8,005-010,5.445
2702481,20200621,2807905,2807901,9,002-005,21.78
2702482,20200621,2807905,2807901,10,002-005,43.56
2702483,20200621,2807905,2807901,10,005-010,27.225
2702484,20200621,2807905,2807901,11,002-005,87.118
2702485,20200621,2807905,2807901,11,005-010,49.005
2702486,20200621,2807905,2807901,12,002-005,130.678
2702487,20200621,2807905,2807901,12,005-010,27.225
2702488,20200621,2807905,2807901,13,002-005,65.339
2702489,20200621,2807905,2807901,13,005-010,16.335
2702490,20200621,2807905,2807901,14,002-005,49.004
2702491,20200621,2807905,2807901,14,005-010,54.45
2702492,20200621,2807905,2807901,15,002-005,49.005
2702493,20200621,2807905,2807901,15,005-010,21.78
2702495,20200621,2807905,2807901,16,002-005,76.23
2702496,20200621,2807905,2807901,16,005-010,16.335
2702498,20200621,2807905,2807901,17,002-005,87.12
2702499,20200621,2807905,2807901,17,005-010,27.225
2702500,20200621,2807905,2807901,18,002-005,92.565
2702501,20200621,2807905,2807901,18,005-010,16.335
2702502,20200621,2807905,2807901,19,002-005,92.564
2702503,20200621,2807905,2807901,19,005-010,49.005
2702504,20200621,2807905,2807901,20,002-005,43.56
2702505,20200621,2807905,2807901,20,005-010,16.335
2702506,20200621,2807905,2807901,21,002-005,16.335
2702507,20200621,2807905,2807901,21,005-010,10.89
2702508,20200621,2807905,2807901,22,002-005,27.225
2702509,20200621,2807905,2807901,22,005-010,5.445
2702510,20200621,2807905,2807901,23,002-005,5.445
2702511,20200621,2807905,2807901,23,005-010,5.445
2702512,20200621,2807905,2807901,9,002-005,16.335
2702513,20200621,2807905,2807901,9,005-010,5.445
2702514,20200621,2807905,2807901,10,002-005,5.445
2702515,20200621,2807905,2807901,10,005-010,5.445
2702516,20200621,2807905,2807901,12,005-010,5.445
2702517,20200621,2807905,2807901,16,005-010,5.445
2702518,20200621,2807905,2807901,18,002-005,5.445
2702519,20200621,2807905,2807901,19,005-010,5.445
2702521,20200621,2807905,2807901,0,002-005,47.71
2702522,20200621,2807905,2807901,0,005-010,38.169
2702524,20200621,2807905,2807901,1,002-005,38.168
2702525,20200621,2807905,2807901,1,005-010,19.084
2702526,20200621,2807905,2807901,2,002-005,38.168
2702527,20200621,2807905,2807901,2,005-010,4.771
2702529,20200621,2807905,2807901,3,002-005,4.771
2702530,20200621,2807905,2807901,3,005-010,9.542
2702531,20200621,2807905,2807901,4,002-005,28.626
2702532,20200621,2807905,2807901,4,005-010,9.542
2702533,20200621,2807905,2807901,5,002-005,4.771
2702534,20200621,2807905,2807901,6,002-005,14.313
2702535,20200621,2807905,2807901,6,005-010,9.542
2702536,20200621,2807905,2807901,8,002-005,9.542
2702537,20200621,2807905,2807901,10,002-005,4.771
2702538,20200621,2807905,2807901,10,005-010,9.542
2702540,20200621,2807905,2807901,11,002-005,4.771
2702541,20200621,2807905,2807901,11,005-010,9.542
2702543,20200621,2807905,2807901,12,002-005,23.855
2702544,20200621,2807905,2807901,12,005-010,4.771
2702545,20200621,2807905,2807901,13,002-005,9.542
2702546,20200621,2807905,2807901,13,005-010,4.771
2702547,20200621,2807905,2807901,14,002-005,9.542
2702548,20200621,2807905,2807901,14,005-010,19.084
2702550,20200621,2807905,2807901,15,002-005,14.313
